Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
ZAUSKIHAUS,2023-08-09 10:09:43,00:08:58,,Suits: Season 2: Normandy (Episode 15),,iPhone 12 Pro,00:15:00,00:15:00,US (United States)
ZAUSKIHAUS,2023-08-09 10:09:19,00:00:06,,Suits: Season 2: He's Back (Episode 14),,iPhone 12 Pro,00:25:37,00:25:37,US (United States)
ZAUSKIHAUS,2023-08-09 09:55:06,00:00:05,,Suits: Season 2: Normandy (Episode 15),,iPhone 12 Pro,00:01:13,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-09 09:38:15,00:16:31,,Suits: Season 2: He's Back (Episode 14),,iPhone 12 Pro,00:42:39,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-09 09:37:52,00:00:21,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,iPhone 12 Pro,00:00:21,00:00:21,US (United States)
ZAUSKIHAUS,2023-08-09 00:30:22,00:14:59,,S.W.A.T.: Season 5: Three Guns (Episode 10),,Microsoft Xbox Series X,00:19:40,00:19:40,US (United States)
ZAUSKIHAUS,2023-08-09 00:29:05,00:01:05,Autoplayed: user action: None; ,New Amsterdam: Season 1_hook_primary_16x9,HOOK,Microsoft Xbox Series X,00:01:05,00:01:05,US (United States)
ZAUSKIHAUS,2023-08-09 00:28:52,00:00:07,Autoplayed: user action: None; ,The Fast and the Furious_hook_04_16x9,HOOK,Microsoft Xbox Series X,00:00:07,00:00:07,US (United States)
ZAUSKIHAUS,2023-08-09 00:28:20,00:00:25,Autoplayed: user action: None; ,The Fast and the Furious_hook_04_16x9,HOOK,Microsoft Xbox Series X,00:00:25,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-09 00:28:09,00:00:04,Autoplayed: user action: None; ,Season 1 Teaser: Zombieverse,TEASER_TRAILER,Microsoft Xbox Series X,00:00:04,00:00:04,US (United States)
ZAUSKIHAUS,2023-08-08 22:34:55,00:04:13,Autoplayed: user action: None; ,S.W.A.T.: Season 5: Three Guns (Episode 10),,Microsoft Xbox Series X,00:04:44,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-08 21:54:28,00:40:25,,S.W.A.T.: Season 5: Survive (Episode 9),,Microsoft Xbox Series X,00:40:55,00:40:55,US (United States)
ZAUSKIHAUS,2023-08-08 21:19:20,00:11:05,,Suits: Season 2: He's Back (Episode 14),,iPhone 12 Pro,00:17:54,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-08 21:14:09,00:05:03,,Suits: Season 2: Zane Vs. Zane (Episode 13),,iPhone 12 Pro,00:42:39,00:42:39,US (United States)
ZAUSKIHAUS,2023-08-08 09:22:01,00:18:35,,Suits: Season 2: Zane Vs. Zane (Episode 13),,iPhone 12 Pro,00:36:54,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 23:49:44,00:41:48,,S.W.A.T.: Season 5: Safe House (Episode 8),,Microsoft Xbox Series X,00:42:10,00:42:10,US (United States)
ZAUSKIHAUS,2023-08-07 23:06:15,00:41:41,,S.W.A.T.: Season 5: Keep the Faith (Episode 7),,Microsoft Xbox Series X,00:41:41,00:41:41,US (United States)
ZAUSKIHAUS,2023-08-07 23:05:48,00:00:22,Autoplayed: user action: None; ,Plot Clip: Extraction 2,HOOK,Microsoft Xbox Series X,00:00:22,00:00:22,US (United States)
ZAUSKIHAUS,2023-08-07 22:03:38,00:03:27,,Suits: Season 2: Zane Vs. Zane (Episode 13),,iPhone 12 Pro,00:09:01,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 21:47:35,00:03:14,,Suits: Season 2: Zane Vs. Zane (Episode 13),,iPhone 12 Pro,00:05:34,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 21:19:03,00:27:38,,Suits: Season 2: Blood in the Water (Episode 12),,iPhone 12 Pro,00:42:15,00:42:15,US (United States)
ZAUSKIHAUS,2023-08-07 21:05:24,00:13:37,,Suits: Season 2: Blind-Sided (Episode 11),,iPhone 12 Pro,00:42:29,00:42:29,US (United States)
ZAUSKIHAUS,2023-08-07 19:34:49,00:14:02,,Suits: Season 2: Blind-Sided (Episode 11),,iPhone 12 Pro,00:22:04,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 19:04:11,00:28:43,,Suits: Season 2: High Noon (Episode 10),,iPhone 12 Pro,00:43:40,00:43:40,US (United States)
ZAUSKIHAUS,2023-08-07 17:43:53,00:42:11,Autoplayed: user action: User_Interaction; ,Suits: Season 2: Asterisk (Episode 9),,Microsoft Xbox Series X,00:42:13,00:42:13,US (United States)
ZAUSKIHAUS,2023-08-07 16:41:25,00:42:23,Autoplayed: user action: User_Interaction; ,Suits: Season 2: Rewind (Episode 8),,Microsoft Xbox Series X,00:42:24,00:42:24,US (United States)
ZAUSKIHAUS,2023-08-07 15:56:34,00:42:36,Autoplayed: user action: User_Interaction; ,Suits: Season 2: Sucker Punch (Episode 7),,Microsoft Xbox Series X,00:42:36,00:42:36,US (United States)
ZAUSKIHAUS,2023-08-07 15:18:49,00:37:43,,Suits: Season 2: All In (Episode 6),,Microsoft Xbox Series X,00:42:35,00:42:35,US (United States)
ZAUSKIHAUS,2023-08-07 15:14:03,00:02:56,,Suits: Season 2: All In (Episode 6),,iPhone 12 Pro,00:04:57,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 14:43:47,00:27:59,,Suits: Season 2: Break Point (Episode 5),,iPhone 12 Pro,00:42:34,00:42:34,US (United States)
ZAUSKIHAUS,2023-08-07 14:06:12,00:32:57,,Suits: Season 2: Discovery (Episode 4),,iPhone 12 Pro,00:42:35,00:42:35,US (United States)
ZAUSKIHAUS,2023-08-07 13:59:13,00:06:58,,Suits: Season 2: Meet the New Boss (Episode 3),,iPhone 12 Pro,00:42:26,00:42:26,US (United States)
ZAUSKIHAUS,2023-08-07 12:55:13,00:12:04,,Suits: Season 2: Meet the New Boss (Episode 3),,iPhone 12 Pro,00:35:28,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 10:51:13,00:00:22,,Suits: Season 2: Meet the New Boss (Episode 3),,iPhone 12 Pro,00:17:21,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 10:45:49,00:03:37,,Suits: Season 2: Meet the New Boss (Episode 3),,iPhone 12 Pro,00:16:53,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 10:44:32,00:00:12,Autoplayed: user action: None; ,The River Wild (2023)_hook_05_16x9,HOOK,iPhone 12 Pro,00:00:13,00:00:13,US (United States)
ZAUSKIHAUS,2023-08-07 10:36:45,00:07:24,,Suits: Season 2: Meet the New Boss (Episode 3),,iPhone 12 Pro,00:11:29,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-07 10:35:44,00:00:54,Autoplayed: user action: None; ,Suits: Season 6_hook_primary_16x9,HOOK,iPhone 12 Pro,00:00:54,00:00:54,US (United States)
ZAUSKIHAUS,2023-08-07 01:50:20,00:40:23,,S.W.A.T.: Season 5: Crisis Actor (Episode 6),,Microsoft Xbox Series X,00:41:22,00:41:22,US (United States)
ZAUSKIHAUS,2023-08-07 01:08:53,00:41:26,,S.W.A.T.: Season 5: West Coast Offense (Episode 5),,Microsoft Xbox Series X,00:42:10,00:42:10,US (United States)
ZAUSKIHAUS,2023-08-07 00:26:04,00:39:13,,S.W.A.T.: Season 5: Sentinel (Episode 4),,Microsoft Xbox Series X,00:40:38,00:40:38,US (United States)
ZAUSKIHAUS,2023-08-06 23:01:47,00:12:28,,S.W.A.T.: Season 5: 27 David (Episode 3),,Microsoft Xbox Series X,00:40:40,00:40:40,US (United States)
ZAUSKIHAUS,2023-08-06 20:39:05,00:26:52,,S.W.A.T.: Season 5: 27 David (Episode 3),,Microsoft Xbox Series X,00:28:14,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-06 20:28:37,00:04:59,,S.W.A.T.: Season 5: Madrugada (Episode 2),,Microsoft Xbox Series X,00:41:40,00:41:40,US (United States)
ZAUSKIHAUS,2023-08-06 20:24:05,00:03:47,,S.W.A.T.: Season 5: Madrugada (Episode 2),,Microsoft Xbox Series X,00:36:41,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-06 20:06:44,00:16:21,,S.W.A.T.: Season 5: Madrugada (Episode 2),,Microsoft Xbox Series X,00:33:15,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-06 19:48:37,00:17:28,,S.W.A.T.: Season 5: Madrugada (Episode 2),,Microsoft Xbox Series X,00:17:29,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-06 19:46:30,00:01:52,Autoplayed: user action: None; ,Season 6 Trailer: Black Mirror,TRAILER,Microsoft Xbox Series X,00:01:53,00:01:53,US (United States)
